,N,Tiempos,Fecha
0,10,0.0009984970092773438,2022-05-21 06:58:31.117851
1,110,0.0,2022-05-21 06:58:31.117851
2,210,0.0010776519775390625,2022-05-21 06:58:31.117851
3,310,0.0,2022-05-21 06:58:31.117851
4,410,0.0009286403656005859,2022-05-21 06:58:31.117851
5,510,0.0009927749633789062,2022-05-21 06:58:31.117851
6,610,0.00099945068359375,2022-05-21 06:58:31.117851
7,710,0.0022935867309570312,2022-05-21 06:58:31.117851
8,810,0.0017473697662353516,2022-05-21 06:58:31.117851
9,910,0.0030083656311035156,2022-05-21 06:58:31.117851
10,1010,0.002468109130859375,2022-05-21 06:58:31.117851
11,1110,0.0030975341796875,2022-05-21 06:58:31.117851
12,1210,0.0019905567169189453,2022-05-21 06:58:31.117851
13,1310,0.004037380218505859,2022-05-21 06:58:31.117851
14,1410,0.004014492034912109,2022-05-21 06:58:31.117851
15,1510,0.0029969215393066406,2022-05-21 06:58:31.117851
16,1610,0.00299072265625,2022-05-21 06:58:31.117851
17,1710,0.003962993621826172,2022-05-21 06:58:31.117851
18,1810,0.0029993057250976562,2022-05-21 06:58:31.117851
19,1910,0.00499725341796875,2022-05-21 06:58:31.117851
20,2010,0.004000663757324219,2022-05-21 06:58:31.117851
21,2110,0.004559516906738281,2022-05-21 06:58:31.117851
22,2210,0.004465579986572266,2022-05-21 06:58:31.117851
23,2310,0.004998922348022461,2022-05-21 06:58:31.117851
24,2410,0.00500035285949707,2022-05-21 06:58:31.117851
25,2510,0.005562782287597656,2022-05-21 06:58:31.117851
26,2610,0.004999637603759766,2022-05-21 06:58:31.117851
27,2710,0.006000518798828125,2022-05-21 06:58:31.117851
28,2810,0.006000041961669922,2022-05-21 06:58:31.117851
29,2910,0.006000518798828125,2022-05-21 06:58:31.117851
30,3010,0.005998849868774414,2022-05-21 06:58:31.117851
31,3110,0.0060002803802490234,2022-05-21 06:58:31.117851
32,3210,0.00700068473815918,2022-05-21 06:58:31.117851
33,3310,0.023813724517822266,2022-05-21 06:58:31.117851
34,3410,0.01619863510131836,2022-05-21 06:58:31.117851
35,3510,0.014312267303466797,2022-05-21 06:58:31.117851
36,3610,0.014131784439086914,2022-05-21 06:58:31.117851
37,3710,0.013314247131347656,2022-05-21 06:58:31.117851
38,3810,0.009133577346801758,2022-05-21 06:58:31.117851
39,3910,0.010820388793945312,2022-05-21 06:58:31.117851
40,4010,0.009151220321655273,2022-05-21 06:58:31.117851
41,4110,0.010050296783447266,2022-05-21 06:58:31.117851
42,4210,0.009821653366088867,2022-05-21 06:58:31.117851
43,4310,0.009851694107055664,2022-05-21 06:58:31.117851
44,4410,0.010265350341796875,2022-05-21 06:58:31.117851
45,4510,0.012038946151733398,2022-05-21 06:58:31.117851
46,4610,0.01127767562866211,2022-05-21 06:58:31.117851
